"","ds","tv_S","ooh_S","print_S","facebook_S","search_S","newsletter","type","solID"
"54",2016-11-28,0,0,31072,141956.391147518,71500,27941,"rawMedia","2_233_2"
"55",2016-12-05,106908,448276,0,49694.0359385557,63000,51273,"rawMedia","2_233_2"
"56",2016-12-12,0,0,0,90910.8371980631,55100,19606,"rawMedia","2_233_2"
"57",2016-12-19,0,627975,0,30356.3307500258,51700,4453,"rawMedia","2_233_2"
"58",2016-12-26,807907.6,0,0,216796.440186449,58000,559,"rawMedia","2_233_2"
"59",2017-01-02,307907.6,850680,209986,128436.327738085,55300,46507,"rawMedia","2_233_2"
"60",2017-01-09,0,0,0,164189.308706815,53100,21771,"rawMedia","2_233_2"
"61",2017-01-16,44349.7,0,11517.3333333333,179631.575394137,50300,35351,"rawMedia","2_233_2"
"62",2017-01-23,0,0,80857.3333333333,195073.842081459,52500,13998,"rawMedia","2_233_2"
"63",2017-01-30,301837.2,0,0,128419.317089608,54200,27415,"rawMedia","2_233_2"
"64",2017-02-06,0,0,0,0,41900,4085,"rawMedia","2_233_2"
"65",2017-02-13,0,239482,0,247813.656619212,0,19401.6538461538,"rawMedia","2_233_2"
"66",2017-02-20,0,0,80182.6666666667,0,0,19401.6538461538,"rawMedia","2_233_2"
"67",2017-02-27,0,0,0,417018.577018849,33800,26556,"rawMedia","2_233_2"
"68",2017-03-06,0,0,105208.333333333,0,35000,12272,"rawMedia","2_233_2"
"69",2017-03-13,77706.6,0,0,0,31600,25992,"rawMedia","2_233_2"
"70",2017-03-20,0,0,148903.666666667,0,28300,22696,"rawMedia","2_233_2"
"71",2017-03-27,0,45893,0,78476.0531614557,36000,26404,"rawMedia","2_233_2"
"72",2017-04-03,0,0,0,0,34200,1245,"rawMedia","2_233_2"
"73",2017-04-10,0,938178,0,0,27500,1126,"rawMedia","2_233_2"
"74",2017-04-17,56017.9,0,0,0,26600,11966,"rawMedia","2_233_2"
"75",2017-04-24,0,555290,0,0,24500,17897,"rawMedia","2_233_2"
"76",2017-05-01,274671.9,0,0,0,19500,6052,"rawMedia","2_233_2"
"77",2017-05-08,0,574399,0,0,20100,9055,"rawMedia","2_233_2"
"78",2017-05-15,0,0,0,0,0,19401.6538461538,"rawMedia","2_233_2"
"79",2017-05-22,0,76887,0,119356.043581121,0,19401.6538461538,"rawMedia","2_233_2"
"80",2017-05-29,0,0,53810.3333333333,0,16300,5778,"rawMedia","2_233_2"
"81",2017-06-05,68441,79663,0,92761.5957523489,20100,1988,"rawMedia","2_233_2"
"82",2017-06-12,0,0,0,0,16700,4794,"rawMedia","2_233_2"
"83",2017-06-19,271947.6,0,0,938.115274090074,23800,5180,"rawMedia","2_233_2"
"84",2017-06-26,0,297435,34945.6666666667,0,20000,1048,"rawMedia","2_233_2"
"85",2017-07-03,34205.7,0,71798,199503.414944841,28400,10977,"rawMedia","2_233_2"
"86",2017-07-10,0,0,0,0,27900,6813,"rawMedia","2_233_2"
"87",2017-07-17,73978.5,202840,187181.333333333,0,28900,2361,"rawMedia","2_233_2"
"88",2017-07-24,0,0,0,0,29000,15114,"rawMedia","2_233_2"
"89",2017-07-31,85386.9,385200,10893.3333333333,0,34000,10044,"rawMedia","2_233_2"
"90",2017-08-07,0,196624,71004.3333333333,0,40200,8930,"rawMedia","2_233_2"
"91",2017-08-14,255352.9,0,0,0,0,19401.6538461538,"rawMedia","2_233_2"
"92",2017-08-21,0,0,85111.3333333333,40280.3430714441,0,19401.6538461538,"rawMedia","2_233_2"
"93",2017-08-28,884168.4,0,0,26967.809573429,52500,33712,"rawMedia","2_233_2"
"94",2017-09-04,0,0,0,0,48700,20000,"rawMedia","2_233_2"
"95",2017-09-11,366519.5,281559,34577.6666666667,18653.0045979246,41900,2265,"rawMedia","2_233_2"
"96",2017-09-18,0,0,0,0,48300,15924,"rawMedia","2_233_2"
"97",2017-09-25,627478.8,271057,0,75870.0218147959,57300,24336,"rawMedia","2_233_2"
"98",2017-10-02,834783.4,109431,0,0,55100,29510,"rawMedia","2_233_2"
"99",2017-10-09,334783.4,613568,138787,160457.172430985,60100,15458,"rawMedia","2_233_2"
"100",2017-10-16,0,0,0,125711.221852087,56900,43966,"rawMedia","2_233_2"
"101",2017-10-23,332703.8,86421,0,141956.391147518,59400,35016,"rawMedia","2_233_2"
"102",2017-10-30,34839.2,0,0,158201.560442949,63500,4749,"rawMedia","2_233_2"
"103",2017-11-06,158617.6,597233,172799.333333333,106584.448704671,73700,25943,"rawMedia","2_233_2"
"104",2017-11-13,0,0,0,228003.055403025,0,19401.6538461538,"rawMedia","2_233_2"
"105",2017-11-20,414205,197447,10095.6666666667,98398.9246575906,0,19401.6538461538,"rawMedia","2_233_2"
"106",2017-11-27,0,0,72013.3333333333,73913.7972399534,112600,41469,"rawMedia","2_233_2"
"107",2017-12-04,216926.6,164704,0,49694.0359385557,95500,16136,"rawMedia","2_233_2"
"108",2017-12-11,0,0,0,90910.8371980631,83400,37784,"rawMedia","2_233_2"
"109",2017-12-18,478117.9,172203,0,30356.3307500258,87500,43251,"rawMedia","2_233_2"
"110",2017-12-25,678117.9,0,112758.333333333,216796.440186449,75600,57523,"rawMedia","2_233_2"
"111",2018-01-01,0,0,39687.6666666667,128436.327738085,79900,77617,"rawMedia","2_233_2"
"112",2018-01-08,0,7401,0,164189.308706815,81300,74527,"rawMedia","2_233_2"
"113",2018-01-15,293169.3,0,116105,0,75600,10394,"rawMedia","2_233_2"
"114",2018-01-22,0,106521,145105.666666667,0,69200,9740,"rawMedia","2_233_2"
"115",2018-01-29,188769,0,0,0,67200,13533,"rawMedia","2_233_2"
"116",2018-02-05,0,0,35601,14189.4104375883,79600,56102,"rawMedia","2_233_2"
"117",2018-02-12,68739.1,101598,0,0,0,19401.6538461538,"rawMedia","2_233_2"
"118",2018-02-19,0,0,47335.6666666667,0,0,19401.6538461538,"rawMedia","2_233_2"
"119",2018-02-26,92670.8,105321,75021,0,55600,19325,"rawMedia","2_233_2"
"120",2018-03-05,0,0,0,0,55200,18078,"rawMedia","2_233_2"
"121",2018-03-12,398401.9,169883,153651,0,53100,8711,"rawMedia","2_233_2"
"122",2018-03-19,0,0,0,0,44700,12979,"rawMedia","2_233_2"
"123",2018-03-26,148078.8,153591,22418.6666666667,0,47500,23910,"rawMedia","2_233_2"
"124",2018-04-02,0,0,0,0,41400,10567,"rawMedia","2_233_2"
"125",2018-04-09,0,21108,0,0,44800,41329,"rawMedia","2_233_2"
"126",2018-04-16,0,0,0,63397.8143515393,37300,21616,"rawMedia","2_233_2"
"127",2018-04-23,0,296913,0,0,27700,2529,"rawMedia","2_233_2"
"128",2018-04-30,0,0,0,384017.91897368,23800,6836,"rawMedia","2_233_2"
"129",2018-05-07,0,111889,0,0,35400,330,"rawMedia","2_233_2"
"130",2018-05-14,0,0,51027.3333333333,391213.423279405,0,19401.6538461538,"rawMedia","2_233_2"
"131",2018-05-21,7103.3,49291,0,0,0,19401.6538461538,"rawMedia","2_233_2"
"132",2018-05-28,0,0,31540.6666666667,30271.2775076413,34800,28568,"rawMedia","2_233_2"
"133",2018-06-04,0,0,0,0,35400,26708,"rawMedia","2_233_2"
"134",2018-06-11,62360.1,0,40685,0,34000,7675,"rawMedia","2_233_2"
"135",2018-06-18,0,32743,0,0,40600,23355,"rawMedia","2_233_2"
"136",2018-06-25,0,0,77881,112708.282156352,38700,16989,"rawMedia","2_233_2"
"137",2018-07-02,109664.6,315190,0,0,29500,14653,"rawMedia","2_233_2"
"138",2018-07-09,0,0,86159.3333333333,242394.064014475,38900,15143,"rawMedia","2_233_2"
"139",2018-07-16,66418.4,111596,0,0,38600,9013,"rawMedia","2_233_2"
"140",2018-07-23,72966.7,0,38795,0,51900,22477,"rawMedia","2_233_2"
"141",2018-07-30,0,0,0,0,58100,8906,"rawMedia","2_233_2"
"142",2018-08-06,97811.2,173577,54001,0,65800,59318,"rawMedia","2_233_2"
"143",2018-08-13,0,0,0,133522.511632676,0,19401.6538461538,"rawMedia","2_233_2"
"144",2018-08-20,461723.4,199560,0,0,0,19401.6538461538,"rawMedia","2_233_2"
"145",2018-08-27,0,0,0,135254.195647623,64400,48020,"rawMedia","2_233_2"
"146",2018-09-03,87460.6,127900,5793.33333333333,0,73000,70855,"rawMedia","2_233_2"
"147",2018-09-10,0,0,4020,0,78800,46225,"rawMedia","2_233_2"
"148",2018-09-17,0,86476,72638,102086.833247381,70200,74995,"rawMedia","2_233_2"
"149",2018-09-24,6659.5,54975,0,0,81700,1047,"rawMedia","2_233_2"
"150",2018-10-01,1175275.8,49176,20238.3333333333,27505.3460652988,92600,34469,"rawMedia","2_233_2"
"151",2018-10-08,0,0,19423.6666666667,60475.3849432094,86200,22232,"rawMedia","2_233_2"
"152",2018-10-15,333671.4,118326,7793.33333333333,73277.5989869177,95700,49409,"rawMedia","2_233_2"
"153",2018-10-22,0,0,0,0,101200,49575,"rawMedia","2_233_2"
"154",2018-10-29,189674.8,0,15961,237954.284762006,103500,42276,"rawMedia","2_233_2"
"155",2018-11-05,0,272610,10916.3333333333,0,105400,25332,"rawMedia","2_233_2"
"156",2018-11-12,430131.9,0,0,261854.245872038,0,19401.6538461538,"rawMedia","2_233_2"
"157",2018-11-19,0,88225,0,0,0,19401.6538461538,"rawMedia","2_233_2"
"158",2018-11-26,401439,0,113471,210107.853205335,120000,301,"rawMedia","2_233_2"
"159",2018-12-03,0,100423,0,0,104900,34832,"rawMedia","2_233_2"
"160",2018-12-10,0,0,47120,0,118300,68792,"rawMedia","2_233_2"
"161",2018-12-17,0,28807,0,0,116600,37199,"rawMedia","2_233_2"
"162",2018-12-24,1185349.3,0,55889.6666666667,272040.222180001,128600,80865,"rawMedia","2_233_2"
"163",2018-12-31,385349.3,0,0,0,108700,54011,"rawMedia","2_233_2"
"164",2019-01-07,0,618,6777,44274.4433338182,127700,96236,"rawMedia","2_233_2"
"165",2019-01-14,86879.8,0,5513.33333333333,0,122200,80627,"rawMedia","2_233_2"
"166",2019-01-21,0,51141,21901.6666666667,85845.0660816449,103600,629,"rawMedia","2_233_2"
"167",2019-01-28,237573,0,0,0,114000,19984,"rawMedia","2_233_2"
"168",2019-02-04,0,0,32040.3333333333,0,104400,55736,"rawMedia","2_233_2"
"169",2019-02-11,95421.3,0,8939.33333333333,63309.3589794594,0,19401.6538461538,"rawMedia","2_233_2"
"170",2019-02-18,0,0,3762.66666666667,0,0,19401.6538461538,"rawMedia","2_233_2"
"171",2019-02-25,135907.2,57906,4843.66666666667,0,91400,46243,"rawMedia","2_233_2"
"172",2019-03-04,0,0,0,0,74600,36979,"rawMedia","2_233_2"
"173",2019-03-11,41177.4,0,0,0,67800,23990,"rawMedia","2_233_2"
"174",2019-03-18,0,0,0,183622.273526816,53700,16046,"rawMedia","2_233_2"
"175",2019-03-25,26125.4,10810,0,0,59800,28980,"rawMedia","2_233_2"
"176",2019-04-01,0,0,0,99259.6634705213,59100,7453,"rawMedia","2_233_2"
"177",2019-04-08,359173.6,3857,0,0,55900,37507,"rawMedia","2_233_2"
"178",2019-04-15,0,0,22471.6666666667,0,48000,43718,"rawMedia","2_233_2"
"179",2019-04-22,36588,0,0,47907.9178484821,47000,1167,"rawMedia","2_233_2"
"180",2019-04-29,0,0,93494.3333333333,75393.723657443,42200,1546,"rawMedia","2_233_2"
"181",2019-05-06,27719.2,0,0,0,54600,34861,"rawMedia","2_233_2"
"182",2019-05-13,0,0,15928,193651.751868791,0,19401.6538461538,"rawMedia","2_233_2"
"183",2019-05-20,219302.9,10817,28421.6666666667,0,0,19401.6538461538,"rawMedia","2_233_2"
"184",2019-05-27,0,6877,0,0,39100,21000,"rawMedia","2_233_2"
"185",2019-06-03,0,0,10439.3333333333,0,46500,19903,"rawMedia","2_233_2"
"186",2019-06-10,0,0,0,1485.85815504597,31100,8031,"rawMedia","2_233_2"
"187",2019-06-17,0,0,0,0,36100,20173,"rawMedia","2_233_2"
"188",2019-06-24,46203.6,0,0,0,37000,26938,"rawMedia","2_233_2"
"189",2019-07-01,0,0,0,0,47900,8713,"rawMedia","2_233_2"
"190",2019-07-08,39527.7,0,0,0,46000,17384,"rawMedia","2_233_2"
"191",2019-07-15,0,124622,0,0,57900,4153,"rawMedia","2_233_2"
"192",2019-07-22,90371.3,0,0,85804.2405253004,63900,25861,"rawMedia","2_233_2"
"193",2019-07-29,0,72061,0,0,71400,1820,"rawMedia","2_233_2"
"194",2019-08-05,97574.8,0,0,462011.742240227,81100,40473,"rawMedia","2_233_2"
"195",2019-08-12,0,63650,0,0,0,19401.6538461538,"rawMedia","2_233_2"
"196",2019-08-19,0,0,24152,292347.534331714,0,19401.6538461538,"rawMedia","2_233_2"
"197",2019-08-26,0,72229,0,0,97400,48083,"rawMedia","2_233_2"
"198",2019-09-02,1698.1,0,102983.666666667,121138.759541499,96000,34061,"rawMedia","2_233_2"
"199",2019-09-09,369508.5,7959,0,0,103200,31325,"rawMedia","2_233_2"
"200",2019-09-16,0,21491,109532.333333333,39926.5215831248,120700,70417,"rawMedia","2_233_2"
"201",2019-09-23,208627.1,0,0,0,115700,50905,"rawMedia","2_233_2"
"202",2019-09-30,0,58979,147067,0,110100,79428,"rawMedia","2_233_2"
"203",2019-10-07,144479.6,0,0,415793.810328513,115100,58284,"rawMedia","2_233_2"
"204",2019-10-14,0,60433,153723.666666667,0,112100,28157,"rawMedia","2_233_2"
"205",2019-10-21,154917.6,0,0,133624.575523537,103700,10644,"rawMedia","2_233_2"
"206",2019-10-28,21982.5,14094,17476,0,114700,9597,"rawMedia","2_233_2"
"207",2019-11-04,22453,0,24051.3333333333,0,134100,90189,"rawMedia","2_233_2"
"208",2019-11-11,0,0,0,366190.759369898,0,19401.6538461538,"rawMedia","2_233_2"
"209",2015-11-23,167687.6,0,95463.6666666667,228213.987444138,0,NA,"rawSpend","2_233_2"
"210",2015-11-30,214600.9,0,0,34258.5735106246,31000,NA,"rawSpend","2_233_2"
"211",2015-12-07,0,248022,3404,127691.261334797,28400,NA,"rawSpend","2_233_2"
"212",2015-12-14,625877.3,0,132600,84014.7203055314,31900,NA,"rawSpend","2_233_2"
"213",2015-12-21,0,520005,0,20687.4781557608,27100,NA,"rawSpend","2_233_2"
"214",2015-12-28,249189.8,0,239417.333333333,160110.155202057,28300,NA,"rawSpend","2_233_2"
"215",2016-01-04,5152.9,425163,0,108690.36698611,27800,NA,"rawSpend","2_233_2"
"216",2016-01-11,22141.7,0,176859.666666667,123894.484594755,32000,NA,"rawSpend","2_233_2"
"217",2016-01-18,0,0,0,108690.36698611,22900,NA,"rawSpend","2_233_2"
"218",2016-01-25,0,0,84329.3333333333,90080.7175523908,22900,NA,"rawSpend","2_233_2"
"219",2016-02-01,123838.7,79645,0,0,20600,NA,"rawSpend","2_233_2"
"220",2016-02-08,0,0,35726.6666666667,106931.465933599,20200,NA,"rawSpend","2_233_2"
"221",2016-02-15,497073.3,0,18363,43457.9322069274,0,NA,"rawSpend","2_233_2"
"222",2016-02-22,0,0,0,0,0,NA,"rawSpend","2_233_2"
"223",2016-02-29,311672.2,0,0,72467.8921194176,17200,NA,"rawSpend","2_233_2"
"224",2016-03-07,0,0,123795.666666667,0,21200,NA,"rawSpend","2_233_2"
"225",2016-03-14,148293.3,82489,0,0,17800,NA,"rawSpend","2_233_2"
"226",2016-03-21,0,0,0,0,17200,NA,"rawSpend","2_233_2"
"227",2016-03-28,0,123916,101845.666666667,194131.452155839,19000,NA,"rawSpend","2_233_2"
"228",2016-04-04,0,0,0,625.119342115275,14300,NA,"rawSpend","2_233_2"
"229",2016-04-11,0,124526,0,0,14000,NA,"rawSpend","2_233_2"
"230",2016-04-18,83450.5,0,0,70460.6355991445,13400,NA,"rawSpend","2_233_2"
"231",2016-04-25,0,0,0,0,13500,NA,"rawSpend","2_233_2"
"232",2016-05-02,0,0,93889.3333333333,0,9500,NA,"rawSpend","2_233_2"
"233",2016-05-09,0,93671,0,0,10700,NA,"rawSpend","2_233_2"
"234",2016-05-16,0,0,0,110217.923219335,0,NA,"rawSpend","2_233_2"
"235",2016-05-23,0,233330,0,0,0,NA,"rawSpend","2_233_2"
"236",2016-05-30,0,0,0,0,10100,NA,"rawSpend","2_233_2"
"237",2016-06-06,0,0,0,0,9000,NA,"rawSpend","2_233_2"
"238",2016-06-13,0,0,0,0,11400,NA,"rawSpend","2_233_2"
"239",2016-06-20,153542.9,232328,0,76594.6754399115,12200,NA,"rawSpend","2_233_2"
"240",2016-06-27,0,0,0,0,11300,NA,"rawSpend","2_233_2"
"241",2016-07-04,75907.6,0,38763,0,13100,NA,"rawSpend","2_233_2"
"242",2016-07-11,0,0,0,0,14300,NA,"rawSpend","2_233_2"
"243",2016-07-18,14253.1,599331,35855,106584.448704671,10700,NA,"rawSpend","2_233_2"
"244",2016-07-25,0,0,0,0,14600,NA,"rawSpend","2_233_2"
"245",2016-08-01,211351.9,307907,0,153060.942473233,17100,NA,"rawSpend","2_233_2"
"246",2016-08-08,0,0,6058.33333333333,0,19000,NA,"rawSpend","2_233_2"
"247",2016-08-15,214730.1,0,0,30356.3307500258,0,NA,"rawSpend","2_233_2"
"248",2016-08-22,0,0,104848,19255.1815540065,0,NA,"rawSpend","2_233_2"
"249",2016-08-29,179933.7,299336,0,0,23100,NA,"rawSpend","2_233_2"
"250",2016-09-05,159463.8,164644,23110.3333333333,1883.90732940523,23800,NA,"rawSpend","2_233_2"
"251",2016-09-12,0,300217,0,0,25000,NA,"rawSpend","2_233_2"
"252",2016-09-19,0,61302,191524.666666667,136128.542979335,25500,NA,"rawSpend","2_233_2"
"253",2016-09-26,0,304454,0,0,22300,NA,"rawSpend","2_233_2"
"254",2016-10-03,1084024.8,228506,73598.6666666667,94415.0307843027,25300,NA,"rawSpend","2_233_2"
"255",2016-10-10,0,0,80428.3333333333,108425.00086987,29900,NA,"rawSpend","2_233_2"
"256",2016-10-17,610420.1,55867,0,159732.51880587,27900,NA,"rawSpend","2_233_2"
"257",2016-10-24,0,297961,70207.3333333333,175977.688101301,30600,NA,"rawSpend","2_233_2"
"258",2016-10-31,704960.9,0,0,192222.857396732,36700,NA,"rawSpend","2_233_2"
"259",2016-11-07,0,267379,86578.6666666667,208648.339566018,31200,NA,"rawSpend","2_233_2"
"260",2016-11-14,392432.9,0,0,159960.46149546,0,NA,"rawSpend","2_233_2"
"261",2016-11-21,52177.9,271909,54698,200462.815518938,0,NA,"rawSpend","2_233_2"
"262",2016-11-28,0,0,31072,141956.391147518,71500,NA,"rawSpend","2_233_2"
"263",2016-12-05,106908,448276,0,49694.0359385557,63000,NA,"rawSpend","2_233_2"
"264",2016-12-12,0,0,0,90910.8371980631,55100,NA,"rawSpend","2_233_2"
"265",2016-12-19,0,627975,0,30356.3307500258,51700,NA,"rawSpend","2_233_2"
"266",2016-12-26,807907.6,0,0,216796.440186449,58000,NA,"rawSpend","2_233_2"
"267",2017-01-02,307907.6,850680,209986,128436.327738085,55300,NA,"rawSpend","2_233_2"
"268",2017-01-09,0,0,0,164189.308706815,53100,NA,"rawSpend","2_233_2"
"269",2017-01-16,44349.7,0,11517.3333333333,179631.575394137,50300,NA,"rawSpend","2_233_2"
"270",2017-01-23,0,0,80857.3333333333,195073.842081459,52500,NA,"rawSpend","2_233_2"
"271",2017-01-30,301837.2,0,0,128419.317089608,54200,NA,"rawSpend","2_233_2"
"272",2017-02-06,0,0,0,0,41900,NA,"rawSpend","2_233_2"
"273",2017-02-13,0,239482,0,247813.656619212,0,NA,"rawSpend","2_233_2"
"274",2017-02-20,0,0,80182.6666666667,0,0,NA,"rawSpend","2_233_2"
"275",2017-02-27,0,0,0,417018.577018849,33800,NA,"rawSpend","2_233_2"
"276",2017-03-06,0,0,105208.333333333,0,35000,NA,"rawSpend","2_233_2"
"277",2017-03-13,77706.6,0,0,0,31600,NA,"rawSpend","2_233_2"
"278",2017-03-20,0,0,148903.666666667,0,28300,NA,"rawSpend","2_233_2"
"279",2017-03-27,0,45893,0,78476.0531614557,36000,NA,"rawSpend","2_233_2"
"280",2017-04-03,0,0,0,0,34200,NA,"rawSpend","2_233_2"
"281",2017-04-10,0,938178,0,0,27500,NA,"rawSpend","2_233_2"
"282",2017-04-17,56017.9,0,0,0,26600,NA,"rawSpend","2_233_2"
"283",2017-04-24,0,555290,0,0,24500,NA,"rawSpend","2_233_2"
"284",2017-05-01,274671.9,0,0,0,19500,NA,"rawSpend","2_233_2"
"285",2017-05-08,0,574399,0,0,20100,NA,"rawSpend","2_233_2"
"286",2017-05-15,0,0,0,0,0,NA,"rawSpend","2_233_2"
"287",2017-05-22,0,76887,0,119356.043581121,0,NA,"rawSpend","2_233_2"
"288",2017-05-29,0,0,53810.3333333333,0,16300,NA,"rawSpend","2_233_2"
"289",2017-06-05,68441,79663,0,92761.5957523489,20100,NA,"rawSpend","2_233_2"
"290",2017-06-12,0,0,0,0,16700,NA,"rawSpend","2_233_2"
"291",2017-06-19,271947.6,0,0,938.115274090074,23800,NA,"rawSpend","2_233_2"
"292",2017-06-26,0,297435,34945.6666666667,0,20000,NA,"rawSpend","2_233_2"
"293",2017-07-03,34205.7,0,71798,199503.414944841,28400,NA,"rawSpend","2_233_2"
"294",2017-07-10,0,0,0,0,27900,NA,"rawSpend","2_233_2"
"295",2017-07-17,73978.5,202840,187181.333333333,0,28900,NA,"rawSpend","2_233_2"
"296",2017-07-24,0,0,0,0,29000,NA,"rawSpend","2_233_2"
"297",2017-07-31,85386.9,385200,10893.3333333333,0,34000,NA,"rawSpend","2_233_2"
"298",2017-08-07,0,196624,71004.3333333333,0,40200,NA,"rawSpend","2_233_2"
"299",2017-08-14,255352.9,0,0,0,0,NA,"rawSpend","2_233_2"
"300",2017-08-21,0,0,85111.3333333333,40280.3430714441,0,NA,"rawSpend","2_233_2"
"301",2017-08-28,884168.4,0,0,26967.809573429,52500,NA,"rawSpend","2_233_2"
"302",2017-09-04,0,0,0,0,48700,NA,"rawSpend","2_233_2"
"303",2017-09-11,366519.5,281559,34577.6666666667,18653.0045979246,41900,NA,"rawSpend","2_233_2"
"304",2017-09-18,0,0,0,0,48300,NA,"rawSpend","2_233_2"
"305",2017-09-25,627478.8,271057,0,75870.0218147959,57300,NA,"rawSpend","2_233_2"
"306",2017-10-02,834783.4,109431,0,0,55100,NA,"rawSpend","2_233_2"
"307",2017-10-09,334783.4,613568,138787,160457.172430985,60100,NA,"rawSpend","2_233_2"
"308",2017-10-16,0,0,0,125711.221852087,56900,NA,"rawSpend","2_233_2"
"309",2017-10-23,332703.8,86421,0,141956.391147518,59400,NA,"rawSpend","2_233_2"
"310",2017-10-30,34839.2,0,0,158201.560442949,63500,NA,"rawSpend","2_233_2"
"311",2017-11-06,158617.6,597233,172799.333333333,106584.448704671,73700,NA,"rawSpend","2_233_2"
"312",2017-11-13,0,0,0,228003.055403025,0,NA,"rawSpend","2_233_2"
