ds,variable,value
2018-04-09,predicted,1279149.823485564
2018-04-16,predicted,1076591.5934823966
2018-04-23,predicted,940897.8271355933
2018-04-30,predicted,1262284.0941902976
2018-05-07,predicted,967505.0325801759
2018-05-14,predicted,1071853.4690643894
2018-05-21,predicted,1339215.6207283922
2018-05-28,predicted,1008739.5742922195
2018-06-04,predicted,957619.5156371149
2018-06-11,predicted,890415.8751254092
2018-06-18,predicted,1025175.5592625623
2018-06-25,predicted,1110736.1294853531
2018-07-02,predicted,1043887.0503907171
2018-07-09,predicted,1224525.4309424246
2018-07-16,predicted,1207803.689898868
2018-07-23,predicted,1434369.4202106793
2018-07-30,predicted,1582458.783981448
2018-08-06,predicted,1901956.7528917831
2018-08-13,predicted,1592343.739560502
2018-08-20,predicted,1510968.7421904837
2018-08-27,predicted,1891893.5675533768
2018-09-03,predicted,2196965.38877213
2018-09-10,predicted,2241785.3761704275
2018-09-17,predicted,2312423.5741607416
2018-09-24,predicted,2140183.3524873415
2018-10-01,predicted,2635181.235115599
2018-10-08,predicted,2416732.959406033
2018-10-15,predicted,2722358.471617557
2018-10-22,predicted,2709978.047587825
2018-10-29,predicted,2751214.394992114
2018-11-05,predicted,2723074.93368305
2018-11-12,predicted,2650927.827893219
2018-11-19,predicted,2636965.384705032
2018-11-26,predicted,2523283.1575519806
2018-12-03,predicted,2334783.26692774
2018-12-10,predicted,2548729.987732974
2018-12-17,predicted,2472842.9477241607
2018-12-24,predicted,3447071.761172591
2018-12-31,predicted,2914462.5079064546
